Continue to the partially-completed dock.	部分的に完成したドックに進みます。
An old abandoned shipyard lays before you. Having once belonged to the gigacorporation Hephaestus, it now belongs to Vagabond intruders. Unsurprisingly, to get closer you'll have to clear out the Vagabonds first.	古い放棄された造船所があなたの前に横たわっています。かつてGigacorporation Hephaestusに属していたので、現在はVagabond侵入者に属しています。当然のことながら、近づくには、最初に迷走abondsをクリアする必要があります。
"This is Freamon. We've successfully secured the hostages. I want to extend my utmost appreciation for what you've done here today. We're going to get them all to safety. The pirates had some military equipment on their ship - if you want it, it's yours." As the Commodore has his crew bring you the pirate's belongings, one of them passes on a thank-you note from a child that had been taken.	「これはフリーモンです。私たちは人質を確保しました。今日ここでやったことに最大限の感謝を拡大したいと思います。私たちはそれらをすべて安全にしようとしています。海賊は船にいくつかの軍事装備がありました - あなたがそれを望むなら、それはあなたのものです。」コモドールには乗組員があなたに海賊の持ち物を持ってきているので、そのうちの1人は連れて行かれた子供からの感謝のメモを通り過ぎます。
The smuggler clearly doesn't intend to stick around. They're already warming up their FTL!	密輸業者は明らかに固執するつもりはありません。彼らはすでにFTLを温めています！
"No? Ah, you're no fun. Let me guess, you never wear anything but that captain's uniform, do you? Come on, Cappy! Live a little!"	「いや？ああ、あなたは面白くない。あなたはそのキャプテンのユニフォーム以外に何も着ないでください、あなたは？
Refuse the search.	検索を拒否します。
(Shell Crew) Send a Shell crewmember.	（シェルクルー）シェルクルーメンバーを送信します。
The Confederacy has drawn the ire of quite a few humans, who see the raw industrial power of the Vampweeds as a threat to the Union's dominance on galactic manufacturing. Of course, the Rebels have taken this to the extreme and are now making unprovoked attacks on Confederate space!	南軍はかなりの数の人間の怒りを引き付けました。彼らは、ヴァンプウィードの生の産業力を、銀河製造に関する組合の支配に対する脅威と見なしています。もちろん、反政府勢力はこれを極端に引き継いでおり、現在、南軍の空間で挑発されていない攻撃を行っています！
Slocknog flips over the card and reads out its title. "The explorer!" Slocknog clears his throat. "The explorer hasss been everywhere, at leassst everywhere that'sss worth being. Their knowledge of the galaxy issss greater than mossst, but the price of thissss exploration isss they have no real home of their own. The explorer wanderssss, alwaysss sssseeking new excitement, but never finding resssolution." Slocknog places the card down. "Whether you accept it or not, thisss isss how the game hassss judged you. Now it issss up to you to decide if thissss iss the fate you want."	Slocknogはカードをひっくり返し、そのタイトルを読み取ります。「エクスプローラー！」Slocknogは喉をきれいにします。「エクスプローラーのhassはどこにでもあり、どこにでもあるすべての場所にあります。銀河の知識はモスストよりも大きいですが、Thisssの価格は独自の本物の家を持っていません。、しかし、レスソリューションを見つけることはありません。」Slocknogはカードを下に置きます。「あなたがそれを受け入れるかどうかにかかわらず、これはゲームのhassssがあなたをどのように判断したかをISSSにします。
Continue to listen.	聞き続けます。
A bright green Auto-ship comes out of the portal. "Well golly, I'm Callie the Calculator, and you must be [STUDENT NAME HERE]. I'm so excited to be your teacher here at [SCHOOL NAME HERE]!!! Let's begin! What's 9-8?"	明るい緑色の自動船がポータルから出てきます。「まあ、私は計算機をカレイしています。あなたは[学生名はこちら]でなければなりません。私はここであなたの先生になることをとても楽しみにしています!!!始めましょう！9-8とは何ですか？」
Demand the surrender of the prisoners.	囚人の降伏を要求する。
Ask for a Scientist.	科学者に尋ねてください。
Ivar and Alkali are in the mess hall together. Alkali is serving several plates to Ivar. "And thhhis is thhhe lobster species after having been fed Supplement P513."⏎⏎Ivar digs into it and chews thoughtfully. "Yes, the richness is much more potent. And you say it's more nutritious?"⏎⏎Alkali nods. "Precisely! Now, try thhhe next sample."⏎⏎Ivar takes the next sample and chews it. A strange look comes over his face. "Hey, wait, this one... I think you're playing a trick on me with this one. Is this a control?"⏎⏎Alkali chuckles. "Ahhh, forgive me Ivar! I have a duty to my craft. I can't tell you what thhhey are to make sure thhhe placebo effect isn't interfering."⏎⏎Ivar smiles. "Ever the scientist."	IvarとAlkaliは一緒に混乱ホールにいます。アルカリは、ivarにいくつかのプレートを提供しています。「そして、サプリメントP513を供給された後、ロブスター種です。」「はい、豊かさははるかに強力です。そして、あなたはそれがより栄養価が高いと言いますか？」「正確に！今、次のサンプルを試してみてください。」彼の顔に奇妙な表情がやって来ます。「ねえ、待って、これを...あなたはこれで私にトリックをしていると思う。これはコントロールですか？」⏎⏎アルカリは笑います。「ああ、私にイバーを許してください！私は自分の工芸に義務があります。プラセボ効果が干渉しないようにするために、私はあなたに何があるかをあなたに伝えることができません。」「これまでの科学者。」
You're greeted by a Ranger with an oversized hat, who explains the basics. "We've rounded up quite a handful of Equinoidsss, and we're going to hold a grand sssspace rodeo! You can enter one of your crew if you want, for a sssmall entrance fee of 25 ssscrap. Whatever participant lastsss the longessst winsss the prize, a weapon we definitely didn't sssteal! It's one big-assss beam, if that enticesss you!"	あなたは基本を説明する特大の帽子をかぶったレンジャーに迎えられます。「私たちはかなり一握りのエクイノイドを切り上げました。グランドSSSSPACE Rodeoを開催します。必要に応じて、25 SSSCRAPのSSSMALL入り口料金で乗組員の1人に入ることができます。賞、私たちが間違いなくSSSTEALではなかった武器！それはあなたを魅了しているなら、それは一つのビッグアッセスビームです！」
Discuss the situation with the Praetor.	賞賛者と状況について話し合う。
Help ferry a strange Engi to safety.	奇妙なエンギーを安全にフェリーするのを手伝ってください。
"It would seem so from my experience. Yet, there's stories of such strange things happening... Pudding realities, planets made of solid gold... There's definitely infinities out there, and yet its almost as if something is keeping us from reaching them. Keeping me from reuniting with my people..."	「それは私の経験からそう思われます。それでも、そのような奇妙なことが起こっているという物語があります...プリンの現実、堅い金で作られた惑星...間違いなくそこには無限がありますが、まるで何かが私たちに到達しないようにしているかのようです彼ら。私が私の人々と再会するのを防ぐ...」
A former mercantile vessel, although its owner was killed by Mantis warlords. The Federation was able to salvage the ship and its merchant beacon.	その所有者はマンティスの武将に殺されましたが、元商船でした。連盟は船とその商人のビーコンを救うことができました。
"Zip it, chowderhead! You purport to be a savior of the Federation. Well, start acting like one! No monster who commands the deaths of children could ever be worthy of saving anyone. Commit whatever garden variety war atrocities you want, but I insist that you leave the children out of it!"	「それをジップ、チャウダーヘッド！あなたは連邦の救い主になると主張します。あなたは子供たちをそれから除外することを主張します！」
Movement speed is increased to 1.4x	移動速度は1.4倍に増加します
Sell them a Chaotic Amber Launcher.	それらをカオスアンバーランチャーを販売します。
"Oh, you did it! Thhhis is amazing. I cannot thhhank you enough. H-How about if I work for you? I can study thhhese on my own time, and pay off my debt with labour!"	「ああ、あなたはそれをしました！驚くべきことです。私はあなたを十分にあなたにhankすることはできません。
The race starts with a bang, your own spider managing to keep up with the frontrunners. Having to deal with the speed of the other spiders and navigating the obstacles is difficult. Your spider struggles to keep amidst the frontrunner spiders - but keeps up all the same. As the spiders get near the finish line, your spider goes all out to barely eke out a second place victory. The emcee announces the winner, but you celebrate your spider's silver medal with the rest of the crewmates. As the runner up, you still get a modest reward.	レースは強打から始まり、あなた自身のクモがフロントランナーに追いつくことができます。他のクモの速度に対処し、障害をナビゲートすることは困難です。あなたのクモは、フロントランナーのクモの中で維持するのに苦労します - しかし、すべて同じものを維持します。クモがフィニッシュラインに近づくと、あなたのクモは、2位の勝利をかろうじて排除するためにすべて出かけます。司会者は勝者を発表しますが、あなたはクモの銀メダルを他の乗組員と祝います。準優勝として、あなたはまだささやかな報酬を得ることができます。
"You mean - the water on this ship isn't filtered?! Good god, no wonder uncle said space was dangerous! You must have so many diseases! Captain, we need to fix this!" You assure Jerry that your ship's water is normal and probably doesn't carry any diseases.⏎⏎"Really? In the Protectorate our water never tasted like anything! Wow... space is so mysterious!"	「つまり、この船の水はろ過されていませんか？！良い神、おじさんがスペースが危険だと言ったのも不思議ではありません！あなたは非常に多くの病気を持っている必要があります！あなたはジェリーにあなたの船の水が正常であり、おそらく病気を運んでいないことを保証します。
The chase, as it turns out, is incredibly short lived. As you round the same corner he took a mere few seconds before, the Slug has seemed to have magically vanished. You check the crew manifest but it seems Sylvan has somehow configured it not to track him. You'd chew him out for this, if only you actually knew where he was.	結局のところ、追跡は非常に短命です。あなたが同じコーナーを走り回ると、彼はほんの数秒前にかかったので、ナメクジは魔法のように消えたように見えました。あなたは乗組員のマニフェストをチェックしますが、シルバンは彼を追跡しないようにそれを何らかの形で構成したようです。あなたが彼がどこにいるかを実際に知っていたなら、あなたは彼をこのために噛んでください。
Turns out, many things. As soon as you pass by the barrier to the dissection center's hangar, a massive Anti-ship cannon on the interior swivels to face your ship, and several Clansmen start shouting at you. "The hell you doin' you git? You got a licensssse to be in here?"	結局のところ、多くのこと。解剖センターの格納庫への障壁を通り過ぎるとすぐに、内部のスイベルに大きな船の大砲が船に向かい、数人の氏族があなたに向かって叫び始めます。「あなたがしているのは地獄ですか？あなたはここにいるためにライセンスを手に入れましたか？」
"You are trying to trick us! You cannot expect us to believe that you are right and we are wrong. Show us some proof, or be destroyed for your treachery."	「あなたは私たちをだまそうとしています！あなたはあなたが正しいと信じていると信じることを期待することはできません。
(Pro-Hull Beam) Offer to use the Beam to fix up their ship.	（Pro-Hull Beam）ビームを使用して船を固定することを申し出ます。
You doubt the Smugglers are going to give you a weapon after this, but it was effortless scrap, and who can complain about that?	密輸業者がこの後に武器を与えることを疑いますが、それは楽なスクラップであり、誰がそれについて文句を言うことができますか？
Refuse to sign the petition.	請願書に署名することを拒否します。
(Long-Ranged Scanners) Show them your databanks.	（長距離スキャナー）データバンクを表示します。
(Jerry) "I'm proud of you."	（ジェリー）「私はあなたを誇りに思っています。」
Open fire.	火。
Coordinates given by Sylvan of the presumed location of the Saltman.	ソルトマンの推定場所についてシルバンが与えた座標。
You allow your Zoltan a few moments to utter a prayer to the shrine. Satisfied, they get up and return to the ship and you prepare to carry on.	あなたはあなたのゾルタンが神社に祈りを捧げるためにしばらくすることを許します。満足して、彼らは立ち上がって船に戻り、あなたは続ける準備をします。
You power up your weapons and charge towards the station before they can react.	あなたはあなたの武器を動かし、彼らが反応する前に駅に向かって充電します。
Ask what they're doing in Coalition space.	連合の分野で彼らが何をしているのか尋ねてください。
Who are you talking to?	だれと話しているの？
Mantis culprit.	マンティス犯人。
It's obvious this man is unstable, and sticking around is a bad idea. The terraformers are distraught to hear about the slaughter. "Damn it! I... they're dead? All of them? Jeez, have we really come to this? Murdering unarmed monks on a diplomatic mission? This is going to be a PR nightmare... but thank you for handling this. If our teams had seen this, they might not have been able to control themselves.	この男が不安定であることは明らかであり、周りを固執するのは悪い考えです。テラフォーマーは虐殺について聞くために取り乱しています。「くそー！これ。私たちのチームがこれを見たなら、彼らは自分自身をコントロールできなかったかもしれません。
The Revolutionaries release an Ampere from a cell. The Ampere seems a little disgruntled, but goes along with it. "I don't know who you are or what's going on... but serving on a ship is better than rotting away in a cell."	革命家は、セルからアンペアをリリースします。アンペアは少し不満を抱いているように見えますが、それに伴います。「私はあなたが誰であるか、何が起こっているのかわかりません...しかし、船で提供することは、セルで腐敗するよりも良いです。」
